_id;Caráter PBOM;Serviço PBOM;UF PBOM;Município PBOM;Município-UF;Frequência PBOM;Medida da Freq. PBOM;Classe PBOM;Latitude Decimal PBOM;Longitude Decimal PBOM;Latitude GMS PBOM;Longitude GMS PBOM;Latitude Decimal;Longitude Decimal;ERP PBOM;Altura da Torre PBOM;Categoria da Estação PBOM
57dbac774fced;Primário;OM;SP;Itajobi;Itajobi - SP;1530;KHz;C;-21.318055555556;-49.054444444444;21S19 05;49W03 16;-21.318055555556;-49.054444444444;;55;
57dbac77525fb;Primário;OM;SP;Itanhaém;Itanhaém - SP;1390;KHz;B;-24.186111111111;-46.781111111111;24S11 10;46W46 52;-24.186111111111;-46.781111111111;;59;
57dbac7756f99;Primário;OM;SP;Itapetininga;Itapetininga - SP;900;KHz;C;-23.566388888889;-48.031111111111;23S33 59;48W01 52;-23.566388888889;-48.031111111111;;72;
57dbac775bc73;Primário;OM;SP;Itapetininga;Itapetininga - SP;970;KHz;B;-23.598888888889;-48.035555555556;23S35 56;48W02 08;-23.598888888889;-48.035555555556;;71;
57dbac775fff5;Primário;OM;SP;Itapeva;Itapeva - SP;570;KHz;C;-23.958611111111;-48.893055555556;23S57 31;48W53 35;-23.958611111111;-48.893055555556;;110;
57dbac77645c5;Primário;OM;SP;Itapeva;Itapeva - SP;1520;KHz;C;-23.982222222222;-48.875555555556;23S58 56;48W52 32;-23.982222222222;-48.875555555556;;55;
57dbac7766ebe;Primário;OM;SP;Itapevi;Itapevi - SP;1370;KHz;A;-23.510833333333;-46.676111111111;23S30 39;46W40 34;-23.510833333333;-46.676111111111;;60;
57dbac776bad8;Primário;OM;SP;Itapira;Itapira - SP;930;KHz;C;-22.426111111111;-46.817222222222;22S25 34;46W49 02;-22.426111111111;-46.817222222222;;69;
57dbac7770365;Primário;OM;SP;Itápolis;Itápolis - SP;1310;KHz;B;-21.586666666667;-48.841111111111;21S35 12;48W50 28;-21.586666666667;-48.841111111111;;82;
57dbac7774b95;Primário;OM;SP;Itaporanga;Itaporanga - SP;1580;KHz;C;-23.670833333333;-49.505555555556;23S40 15;49W30 20;-23.670833333333;-49.505555555556;;55;
57dbac7778b09;Primário;OM;SP;Itararé;Itararé - SP;1550;KHz;C;-24.10607;-49.33203;24S06 22;49W19 55;-24.10607;-49.33203;;48;Principal
57dbac777cca0;Primário;OM;SP;Itatiba;Itatiba - SP;1420;KHz;B;-22.98306;-46.83278;22S58 59;46W49 58;-22.98306;-46.83278;;63;Principal
57dbac7781108;Primário;OM;SP;Itu;Itu - SP;670;KHz;C;-23.27611;-47.27306;23S16 34;47W16 23;-23.27611;-47.27306;;80;Principal
57dbac77851f2;Primário;OM;SP;Ituverava;Ituverava - SP;1450;KHz;B;-20.342916666667;-47.769555555555;20S20 35;47W46 10;-20.342916666667;-47.769555555555;;60;
57dbac7789b8b;Primário;OM;SP;Jaboticabal;Jaboticabal - SP;1210;KHz;B;-21.235555555556;-48.312222222222;21S14 08;48W18 44;-21.235555555556;-48.312222222222;;57;
57dbac778dd57;Primário;OM;SP;Jaboticabal;Jaboticabal - SP;1510;KHz;C;-21.275430555556;-48.353302777778;21S16 32;48W21 12;-21.275430555556;-48.353302777778;;55;
